Col1,Col2,Col3,Col4,Col5,Col6,Col7,ClassificationLabel
Word290 Word291 Word292 Word5,IFJJLL110718,"473,937.33",Word9 Word1059 Word1060 Word1863 Word835,11/30/2018,Word576 Word632 Word9 Word23 Word179,Doc3,Category_1
Word78 Word79 Word11 Word5,Z033118-13,49.6,Word330 Word99 Word780 Word745 Word1712 Word835,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,672991,312,Word826 Word780,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word58 Word3 Word4 Word5,12800,"1,400.00",Word1071 Word9 Word191,3/1/2018,Word563 Word366 Word562,NoDoc,Category_2
Word8 Word9 Word10 Word11 Word5,4.80D+11,60,Word61,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41475521,"4,100.00",Word1021 Word121 Word659,1/1/2018,Word563 Word121 Word579,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,19475,784.63,Word575 Word1864 Word1865,10/31/2018,Word563 Word575,NoDoc,Category_2
Word58 Word3 Word4 Word5,13202,"1,105.00",Word1549 Word1550 Word1053 Word764 Word1551,7/31/2018,Word563 Word366 Word562,NoDoc,Category_2
Word50 Word51 Word4 Word5,1203,"1,000.00",Word592 Word856,7/31/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_2
Word30 Word31,644074,42,Word826 Word780,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,15496,125,Word575,6/30/2018,Word563 Word575,NoDoc,Category_2
Word273 Word61,468,60,Word60 Word99 Word26,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word78 Word79 Word11 Word5,N101418-10,624,Word26,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word50 Word51 Word4 Word5,1581,977.5,Word797 Word190,11/30/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word156 Word157 Word7,1574718,"9,104.27",Word633 Word575,12/1/2017,Word588 Word576 Word750 Word451 Word545,Doc1,Category_2
Word19 Word20 Word21 Word22 Word23 Word5,14765,12.72,Word1866,5/31/2018,Word563 Word575,NoDoc,Category_2
Word33 Word34 Word35 Word7,108644-1070,"6,463.08",Word895,8/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word160 Word161 Word61 Word45 Word39,1089-4,65,Word61,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word101 Word102 Word103 Word7,112194,"11,400.00",Word562,6/30/2018,Word576 Word366 Word562,Doc3,Category_1
Word33 Word34 Word35 Word7,108644-1140,"35,974.81",Word562 Word1038,8/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,3350,725.4,Word577 Word785 Word1072 Word798,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word137 Word138 Word7,MBDJ6197,"1,680.00",Word905 Word794,9/30/2018,Word563 Word359,NoDoc,Category 3
Word8 Word9 Word10 Word11 Word5,4.80X+11,25.8,Word1028,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word139 Word3 Word4 Word7,16050,"2,232.15",Word906 Word907,8/31/2018,Word563 Word174,NoDoc,Category_2
Word33 Word34 Word35 Word7,108644-440,"5,017.85",Word100 Word1370 Word967 Word699 Word967 Word1062,12/1/2017,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,3018,"1,248.00",Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word101 Word102 Word103 Word7,111291,24,Word1595 Word1060 Word1867 Word1868,3/1/2018,Word565 Word566,NoDoc,Category_1
Word16 Word17 Word18 Word7,NU377,"2,800.00",Word785 Word330 Word99 Word26,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word73 Word4 Word5,1901,"4,270.00",Word653 Word53,7/31/2018,Word563 Word366 Word562,NoDoc,Category_2
Word281 Word282 Word283 Word4 Word5,33849NVT,"7,403.00",Word185 Word283 Word41 Word591,3/1/2018,Word613 Word99 Word614 Word282 Word283 Word620,Doc2,Category_1
Word30 Word31,677898,96,Word978 Word780,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,PJ134,320.4,Word783 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word240 Word276 Word3 Word4 Word5,4873,"77,000.00",Word1717 Word1869,3/1/2018,Word560 Word611 Word603 Word604 Word605 Word606,Doc1,Category_1
Word109 Word61 Word7,148,"11,534.80",,2/1/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word80 Word3 Word4,E134480,"63,350.00",Word569 Word570,8/31/2018,Word567 Word568 Word569 Word295,Doc1,Category_1
Word16 Word17 Word18 Word7,DB1226,160,Word330 Word99 Word26,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3456,"1,068.00",Word785 Word330 Word99 Word764 Word61,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word139 Word3 Word4 Word7,15718,"5,486.25",Word204 Word1870,4/30/2018,Word563 Word366 Word562,NoDoc,Category_2
Word16 Word17 Word18 Word7,4542,"1,090.80",Word959 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word308 Word309 Word310,2018IERZCTUNCDZMKW,"2,760,671.27",Word835 Word682 Word683 Word684,10/31/2018,Word563 Word682 Word683 Word684,NoDoc,Category_1
Word48 Word3 Word4 Word5,GX20171986,42,Word783 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,CO176,"2,520.00",Word924 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,PG1091,"1,260.00",Word125 Word1403,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word263 Word264 Word61 Word5,XE-2388,978.75,Word599 Word191 Word9,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41486535,"22,000.00",Word792 Word1173 Word985 Word659,3/1/2018,Word563 Word121 Word579,NoDoc,Category_1
Word24 Word22 Word4 Word5,23114,"1,317.50",Word562,11/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word162 Word7,UAE15ROG18,"10,500.00",Word777 Word980 Word694 Word980 Word866,7/31/2018,Word567 Word582 Word107,Doc1,Category_1
Word144 Word145 Word146 Word147 Word7,125458,"3,598.00",Word685 Word883 Word132 Word191,4/30/2018,Word576 Word366 Word562,Doc3,Category_1
Word24 Word22 Word4 Word5,23280,680,Word9 Word578 Word568 Word9,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3109,"1,293.00",,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word116 Word117 Word118 Word119 Word7,152766,576,Word51 Word791 Word562,6/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,14685,"1,150.38",Word868,6/30/2018,Word563 Word575,NoDoc,Category_2
Word38 Word4 Word39,41487648,"12,900.00",Word792 Word1173 Word985 Word659,3/1/2018,Word563 Word121 Word579,NoDoc,Category_1
Word48 Word3 Word4 Word5,HE20183936,492,Word1028 Word9 Word877,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word179 Word180 Word181 Word182,NEQIW09282018,"48,705.93",Word979 Word836 Word694 Word45 Word911 Word808,10/31/2018,Word571 Word52 Word636 Word707 Word613,NoDoc,Category_1
Word30 Word31,646970,42,Word826 Word780,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,15948,617.62,Word868 Word575,7/31/2018,Word563 Word575,NoDoc,Category_2
Word96 Word3 Word4 Word5,72345,360,Word797 Word190,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word6 Word7,10734,770,Word1144 Word1245 Word1279,8/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word59 Word60 Word61 Word5,870,382.5,Word60 Word99 Word26,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word478 Word479 Word7,201406,800.25,Word1534 Word1871 Word1872 Word1873,8/31/2018,Word571 Word52 Word618 Word619 Word13,NoDoc,Category_1
Word16 Word17 Word18 Word7,XT378,200,Word961 Word132,6/30/2018,Word563 Word132 Word610,NoDoc,Category_1
Word16 Word17 Word18 Word7,1960,117,Word564 Word9 Word26,12/1/2017,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3598,"1,215.00",Word716 Word695 Word784 Word785,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word210 Word211 Word5,2225,"2,926.07",Word1175 Word1874 Word1875 Word1080,9/30/2018,Word563 Word615 Word211,NoDoc,Category_1
Word273 Word61,467,110,Word60 Word99 Word1516,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-606,"7,082.23",Word1708 Word1876 Word909 Word717 Word909 Word831,2/1/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word16 Word17 Word18 Word7,6988,320.4,Word783 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41506513,"3,500.00",Word1171 Word1107 Word794 Word659 Word1295,7/31/2018,Word563 Word121 Word579,NoDoc,Category_1
Word260 Word65 Word7,600702,"1,008.80",Word562,11/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word193 Word311 Word214 Word4 Word7,6210105288,845,Word305 Word1241,4/1/2018,Word563 Word132 Word610,NoDoc,Category_2
Word58 Word3 Word4 Word5,12768,460,Word1877 Word1484,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word240 Word276 Word3 Word4 Word5,4982,"17,390.00",Word711 Word1149,4/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word208 Word209 Word155 Word7,G42291,"1,139.00",Word156 Word798,4/1/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,66066,340.99,Word562,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word78 Word79 Word11 Word5,S011418-12,24,Word1124 Word784 Word568 Word650,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4626,"1,158.00",Word783 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word160 Word161 Word61 Word45 Word39,1187-4,60,Word61,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-629,"6,652.80",Word562,2/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-1043,"4,438.96",Word258 Word1306 Word699 Word1463 Word695 Word847,7/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word42 Word43 Word5,7902,"3,335.00",Word800 Word605,4/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word16 Word17 Word18 Word7,2278,"1,062.00",,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201806-00045,"2,829,197.98",Word845 Word835 Word46,7/31/2018,Word563 Word587,NoDoc,Category_1
Word113 Word114 Word115 Word7,154115,"2,765.00",Word1878 Word1879 Word1880,11/30/2018,Word560 Word611 Word603 Word604 Word605 Word606,Doc1,Category_1
Word96 Word3 Word4 Word5,72349,720,Word797 Word190,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word217 Word3 Word10 Word5,SVO091518-1,"4,392.96",Word1281 Word9 Word26,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3109,"1,293.00",,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word156 Word157 Word7,1573251,426.66,Word1322 Word319 Word1257,12/1/2017,Word563 Word121 Word579,NoDoc,Category_1
Word96 Word3 Word4 Word5,63348,"2,660.00",,2/1/2018,Word563 Word132 Word610,NoDoc,Category_1
Word97 Word91 Word4 Word5,18-10098,"2,000.00",Word797 Word190,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64503,210,Word1881 Word706,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word16 Word17 Word18 Word7,RF386,"3,780.00",Word1465 Word784 Word785,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,GT559,600,Word255 Word791,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3431,865.8,Word959 Word784 Word785,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3372,"1,281.60",Word787 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word389 Word147 Word130,503831,605,Word307 Word836,4/30/2018,Word567 Word366 Word562,Doc1,Category_1
Word16 Word17 Word18 Word7,RQ799,720,Word1100 Word1072,8/31/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,KK105,"86,940.00",Word190 Word965,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65800,315,Word562,3/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word16 Word17 Word18 Word7,2769,607.2,,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word83 Word84 Word44 Word7,113017-8-1,"1,231.55",Word850 Word65,1/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80P+11,258,Word330 Word99 Word26,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word162 Word7,AYM26TRQ18,"10,500.00",Word1882,3/1/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word116 Word117 Word118 Word119 Word7,154526,576,Word51 Word794 Word562,11/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word464 Word22 Word4 Word7,1186592,"13,595.00",Word702 Word1331 Word4,5/31/2018,Word560 Word561 Word702 Word703 Word704,Doc1,Category_1
Word42 Word43 Word5,8206,"2,000.00",Word1353 Word1883 Word936 Word1884,7/31/2018,Word576 Word366 Word562,NoDoc,Category_2
Word116 Word117 Word118 Word119 Word7,155106,653.17,Word562 Word998,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80H+11,120,Word330 Word99 Word780,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word78 Word79 Word11 Word5,Y011418-12,24,Word1124 Word784 Word568 Word650,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word110 Word22 Word4 Word5,XX51-25260,637.5,Word338 Word330 Word99 Word764 Word61,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word179 Word180 Word181 Word182,VLRYL080118-OXG,"-44,473.31",Word979 Word836 Word980 Word45 Word981 Word808,8/31/2018,Word571 Word52 Word594 Word595 Word596 Word597,NoDoc,Category_1
Word16 Word17 Word18 Word7,4613,"1,396.80",Word959 Word784 Word785,4/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word24 Word22 Word4 Word5,22987,"1,870.00",Word61,11/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3548,"1,162.80",Word1014 Word784 Word785,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word254 Word255 Word5,3043,"230,258.88",Word278 Word1310,6/30/2018,Word567 Word650 Word9 Word255,Doc1,Category_1
Word59 Word60 Word61 Word5,837,58.5,Word60 Word99 Word26,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201805-00053-NB0,"2,570,126.23",Word834 Word835 Word46,6/30/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word3 Word7,70482,315,Word1258 Word805 Word278,5/31/2018,Word563 Word366 Word562,NoDoc,Category_2
Word44 Word45 Word46,201806-00045,"2,829,197.98",Word845 Word835 Word46,7/31/2018,Word563 Word220,NoDoc,Category_1
Word385 Word7,12610,"3,600.00",Word1260 Word1483,6/30/2018,Word560 Word561 Word107,Doc1,Category_1
Word240 Word276 Word3 Word4 Word5,5253,950,Word1178 Word773 Word774,6/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word166 Word5,1598,"1,572.50",Word569 Word570,11/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word89 Word44 Word5,67138945,"28,881.60",Word644,10/31/2018,Word563 Word608 Word609,NoDoc,Category_2
Word16 Word17 Word18 Word7,5167,831.6,Word924 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,XL444,"1,134.00",Word1014 Word784 Word785,7/31/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word42 Word43 Word5,7611,725,Word804 Word805 Word806,3/1/2018,Word565 Word566,NoDoc,Category_1
Word179 Word180 Word181 Word182,GTUZU09282018,"48,705.93",Word979 Word836 Word694 Word45 Word911 Word808,10/31/2018,Word571 Word52 Word594 Word595 Word596 Word597,NoDoc,Category_1
Word16 Word17 Word18 Word7,LW861,180,Word785 Word330 Word99,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word38 Word4 Word39,41524470,"3,500.00",Word121 Word836,9/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word113 Word114 Word115 Word7,154082,"14,145.00",Word578 Word125 Word286,11/30/2018,Word560 Word561 Word612,Doc1,Category_1
Word50 Word51 Word4 Word5,1610,"2,975.00",Word202 Word757 Word201,11/30/2018,Word567 Word582 Word580 Word202 Word545,Doc1,Category_2
Word80 Word3 Word4,V156873,"89,681.00",Word562 Word1017 Word602 Word1079,10/31/2018,Word567 Word568 Word569 Word295,Doc1,Category_1
Word186 Word4 Word5,10075,"47,500.00",Word580 Word1260 Word791,7/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word480 Word481 Word119,FIYUTR020218,"11,414.80",Word9 Word1719 Word1383 Word808,2/1/2018,Word576 Word9 Word23 Word179,Doc3,Category_1
Word16 Word17 Word18 Word7,TT820,"13,860.00",Word1501 Word784 Word785,8/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word19 Word20 Word21 Word22 Word23 Word5,16317,33.36,Word1047 Word1048 Word240 Word1049,7/31/2018,Word563 Word575,NoDoc,Category_2
Word113 Word114 Word115 Word7,148098,522.5,Word578 Word791,8/31/2018,Word560 Word561 Word612,Doc1,Category_1
Word16 Word17 Word18 Word7,IU1666,"5,040.00",Word879 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word33 Word34 Word35 Word7,108644-1130,"4,043.61",Word562,7/31/2018,Word563 Word366 Word56 Word4,NoDoc,Category_1
Word44 Word45 Word46,201811-00046,"8,799,523.59",Word807 Word808 Word46,12/31/2018,Word563 Word608 Word609,NoDoc,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65380,944.75,Word824 Word789 Word1600,2/1/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word153 Word482 Word451 Word4 Word7,79462,269.4,Word338 Word568 Word650,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,1837,608.4,Word955 Word784 Word785,1/1/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word16 Word17 Word18 Word7,6726,320.4,Word783 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word483 Word484,DBPAKJA110618,"15,404.12",Word613 Word781 Word1885,11/30/2018,Word571 Word52 Word594 Word696,NoDoc,Category_1
Word286 Word485 Word4 Word5,7153,"1,700.00",Word738 Word1886,5/31/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64605,39.64,Word851 Word852 Word278,12/1/2017,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word54 Word3 Word4,WJZ68974,990,Word26,9/30/2018,Word567 Word568 Word569 Word570,Doc1,Category_1
Word16 Word17 Word18 Word7,CY1893,"1,260.00",Word1887 Word1379 Word961 Word132,10/31/2018,Word563 Word132 Word610,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80Z+11,"2,064.00",Word1028,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,5167,831.6,Word924 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201806-00045,"2,829,197.98",Word845 Word835 Word46,7/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word205 Word206 Word207 Word39,19057,"1,096.84",Word681 Word1888,2/1/2018,Word571 Word52 Word372 Word579,NoDoc,Category_1
Word30 Word31,655072,"2,465.00",Word797 Word809 Word650 Word1282 Word1149,5/31/2018,Word560 Word611 Word603 Word604 Word605 Word606,Doc1,Category_1
Word6 Word7,10690,"3,195.00",Word1889 Word1282 Word1149,7/31/2018,Word560 Word611 Word603 Word604 Word605 Word606,Doc1,Category_1
Word33 Word34 Word35 Word7,108644-647,"2,556.44",Word562,2/1/2018,Word563 Word366 Word562,NoDoc,Category_1
Word16 Word17 Word18 Word7,BG666,"1,260.00",Word785 Word330 Word99 Word764 Word780,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word80 Word3 Word4,X109616,"12,555.00",Word650 Word255,7/31/2018,Word567 Word568 Word569 Word295,Doc1,Category_1
Word62 Word63 Word18 Word7,212030V,240,Word255 Word132 Word789 Word605,2/1/2018,Word563 Word132 Word610,NoDoc,Category_1
Word486 Word487,2018009893,"3,485.00",Word60 Word99 Word26,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word166 Word5,1556,"1,275.00",Word961 Word132,11/30/2018,Word563 Word132 Word610,NoDoc,Category_1
Word284,8075,"1,155.00",Word900 Word805 Word806,6/30/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word254 Word255 Word5,3003,"1,800.00",Word1890 Word922 Word1113 Word1891,5/31/2018,Word565 Word566,NoDoc,Category_2
Word62 Word63 Word18 Word7,211359N,520,Word338 Word61,12/1/2017,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,8312,"6,000.00",Word1236 Word773 Word774,8/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word16 Word17 Word18 Word7,1877,"1,215.00",,1/1/2018,Word567 Word569 Word570,Doc1,Category_1
Word16 Word17 Word18 Word7,IO1445,"1,260.00",Word901 Word343,9/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word42 Word43 Word5,8243,370,Word1119 Word1120 Word806,7/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80U+11,51.6,Word783 Word784 Word568 Word650,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word44 Word45 Word46,201805-00053-RD0,"2,570,126.23",Word834 Word835 Word46,6/30/2018,Word563 Word575,NoDoc,Category_1
Word27 Word28 Word29 Word5,1059881,"1,948.92",Word1096 Word1537,4/30/2018,Word563 Word307,NoDoc,Category_1
Word41 Word125 Word34 Word5,4423,"3,350.00",Word1404 Word822 Word702 Word805,4/30/2018,Word567 Word582 Word583 Word584 Word585 Word586,Doc1,Category_1
Word54 Word3 Word4,CCF54505,294,Word797 Word190 Word99 Word602,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,PN1567,450,Word1462 Word785,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word30 Word31,664919,48,Word61,7/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word113 Word114 Word115 Word7,151271,760,Word578 Word794,9/30/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word6 Word7,10495G,"1,125.00",Word511 Word1145,6/30/2018,Word567 Word582 Word366 Word562,Doc1,Category_1
Word96 Word3 Word4 Word5,57327,280,Word564 Word9 Word26,12/1/2017,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,4415,"1,329.60",Word783 Word784 Word785,4/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word80 Word3 Word4,C135742,"10,760.00",Word703 Word1556,11/30/2018,Word563 Word545 Word202 Word753 Word125,NoDoc,Category_1
Word488 Word489 Word490 Word5,012318-5I,"29,792.00",Word1207 Word791,2/1/2018,Word567 Word582 Word41 Word319,Doc1,Category_1
Word74 Word75 Word44 Word5,DRE00128,"269,111.58",Word840 Word841 Word842 Word843,10/1/2016,Word563 Word600 Word601 Word602,NoDoc,Category_1
Word38 Word4 Word39,41521918,"3,862.50",Word121 Word836,9/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word16 Word17 Word18 Word7,2989,540,Word961 Word132 Word255,2/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word3 Word7,71359,540,Word837 Word1623 Word1599,10/31/2018,Word563 Word366 Word562,NoDoc,Category_2
Word254 Word255 Word5,3007,"26,010.00",Word160 Word1626 Word1627,5/31/2018,Word567 Word650 Word9 Word255,Doc1,Category_1
Word44 Word45 Word46,201811-00046,"8,799,523.59",Word807 Word808 Word46,12/31/2018,Word560 Word561 Word366 Word562,Doc1,Category_1
Word162 Word7,FBVK14SQI18,"6,161.00",Word846 Word791 Word865 Word909 Word865 Word716,3/1/2018,Word567 Word582 Word107,Doc1,Category_1
Word16 Word17 Word18 Word7,NQ1316,"5,040.00",Word1497 Word784,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word349 Word3 Word4 Word350 Word351 Word333,89001,"3,168.00",Word351 Word1519 Word1892,10/31/2018,Word52 Word330 Word566,NoDoc,Category_1
Word38 Word4 Word39,41516652,"3,500.00",Word1171 Word1107 Word794 Word659 Word1200,9/30/2018,Word563 Word121 Word579,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80I+11,180,Word959 Word784 Word568 Word650,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word386 Word3 Word387 Word4 Word5,3.42S+12,"28,864.21",Word699 Word882 Word695 Word778,6/30/2018,Word563 Word598 Word71,NoDoc,Category_1
Word16 Word17 Word18 Word7,3748,640.8,Word885 Word784 Word785,5/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word8 Word9 Word10 Word11 Word5,4.80N+11,507.4,Word1453 Word784 Word568 Word650,6/30/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,1942,702,Word992 Word784 Word785,1/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word16 Word17 Word18 Word7,3643,270,Word9 Word780,3/1/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
Word162 Word7,ZSC25QPR18,"3,500.00",Word777 Word699 Word882 Word699 Word847,5/31/2018,Word567 Word582 Word107,Doc1,Category_1
Word16 Word17 Word3 Word7,71147,240,Word837 Word278,10/31/2018,Word563 Word580 Word581 Word232,NoDoc,Category_2
Word263 Word264 Word61 Word5,HI-2479,625.05,Word599 Word191,10/31/2018,Word563 Word564 Word9 Word26,NoDoc,Category_1
